,Complex,Metal,Solvent,E12,smiles,Reaction,redox_site_smiles
54,MAPSEC,Fe2,DCM,"0.07,0.73,1.02",COC(=O)C1=CC2=C(C=C1C(=O)OC)C1=C(c3ccccc3)C3=N4C(=C(c5ccccc5)C5=C6C=C(C(=O)OC)C(=CC6=C6N5[Fe+2]54(N1C2=C(c1ccccc1)C1=N5C(=C6c2ccccc2)C2=C1C=C(C(=O)OC)C(=C2)C(=O)OC)(n1ccccc1)n1ccccc1)C(=O)OC)C1=C3C=C(C(=O)OC)C(=C1)C(=O)OC,oxidation,[Fe+2]/COC(=O)C1=CC2=C(C=C1C(=O)OC)C1=C(c3ccccc3)C3=C4C=C(C(=O)OC)C(C(=O)OC)=CC4=C(N3)C(c3ccccc3)=C3N=C(C4=C3C=C(C(=O)OC)C(C(=O)OC)=C4)C(c3ccccc3)=C3NC(=C(c4ccccc4)C2=N1)C1=C3C=C(C(=O)OC)C(C(=O)OC)=C1/COC(=O)C1=CC2=C(C=C1C(=O)OC)C1=C(c3ccccc3)C3=C4C=C(C(=O)OC)C(C(=O)OC)=CC4=C(N3)C(c3ccccc3)=C3N=C(C4=C3C=C(C(=O)OC)C(C(=O)OC)=C4)C(c3ccccc3)=C3NC(=C(c4ccccc4)C2=N1)C1=C3C=C(C(=O)OC)C(C(=O)OC)=C1
55,NAMLEV,Fe2,ACN,-0.772,Fc1ccc2O[Fe+2]345(Oc6ccc(F)cc6C=N3c3cccc6cccn4c36)n3cccc4cccc(N5=Cc2c1)c34,oxidation,[Fe+2]
56,NEBYOL,Fe2,ACN,0.82,FC(F)(F)S(=O)(=O)O[Fe+2]123(OS(=O)(=O)C(F)(F)F)n4ccccc4CN41Cc1ccccc1C4C1c4ccccc4CN21Cc1ccccn31,oxidation,[Fe+2]
57,NEBYUR,Fe2,ACN,0.81,CC(C)[Si](C(C)C)(C(C)C)c1ccc2CN34Cc5ccccc5C3C3c5ccccc5CN53Cc3ccc(cn3[Fe+2]45(OS(=O)(=O)C(F)(F)F)(OS(=O)(=O)C(F)(F)F)n2c1)[Si](C(C)C)(C(C)C)C(C)C,oxidation,[Fe+2]
58,CAKKOQ,Cu2,DCM,-1.26,O=C1N2c3ccccc3O3CCO4c5ccccc5N5C(=O)c6ccccn6[Cu+2]2345n2ccccc12,reduction,[Cu+2]
59,CAKKOQ,Ni2,DCM,0.79,O=C1N2c3ccccc3O3CCO4c5ccccc5N5C(=O)c6ccccn6[Ni+2]2345n2ccccc12,oxidation,[Ni+2]
60,CAKKOQ,Co2,DCM,0.10,O=C1N2c3ccccc3O3CCO4c5ccccc5N5C(=O)c6ccccn6[Co+2]2345n2ccccc12,oxidation,[Co+2]
61,CIBDIB,Co2,ACN,-1.22,COc1cccc2C=O[Co+2]34(Oc12)(Oc1c(OC)cccc1C=O3)n1ccccc1c1ccccn41,reduction,[Co+2]
62,CIBDIB,Co2,ACN,"0.11,1.06,1.06,1.28",COc1cccc2C=O[Co+2]34(Oc12)(Oc1c(OC)cccc1C=O3)n1ccccc1c1ccccn41,oxidation,[Co+2]/COc1cccc(C=O)c1O/c1ccc(c2ccccn2)nc1
63,DAVGOX,Mn3,ACN,-0.347,C[OH][Mn+3]123(Oc4ccccc4C=N1c1ccccc1N2=Cc1ccccc1O3)Oc1ccccc1C1=Nc2ccccc2N1,reduction,[Mn+3]
64,FILSIE,Mn3,DMF,-0.30,[OH2][Mn+3]123(Oc4c(OC)cccc4C=N1CCN2=Cc1cccc(OC)c1O3)N#C[N-]C#N,reduction,[Mn+3]
65,DAVGOX,Mn3,ACN,0.023,C[OH][Mn+3]123(Oc4ccccc4C=N1c1ccccc1N2=Cc1ccccc1O3)Oc1ccccc1C1=Nc2ccccc2N1,oxidation,[Mn+3]
66,DEVMOH01,Mn3,DMF,-0.627,[OH2][Mn+3]123(Cl)Oc4c(OCC)cccc4C=N1CCN2=Cc1cccc(OCC)c1O3,reduction,[Mn+3]
67,EBEFAU02,Mn3,DMF,-0.63,[OH2][Mn+3]123(Oc4c(OCC)cccc4C=N1CCN2=Cc1cccc(OCC)c1O3)N=C=S,reduction,[Mn+3]
68,ZIRNUL,Mn3,DMF,-0.64,[OH2][Mn+3]123(OC(C)=O)Oc4c(OCC)cccc4C=N1CCN2=Cc1cccc(OCC)c1O3,reduction,[Mn+3]
69,ZIRPEX,Mn3,DMF,-0.64,[OH2][Mn+3]123(Oc4c(OCC)cccc4C=N1CCN2=Cc1cccc(OCC)c1O3)N=[N+]=[N-],reduction,[Mn+3]
70,ZIRPOH,Mn3,DMF,-0.63,[OH2][Mn+3]123(Oc4c(OCC)cccc4C=N1CCN2=Cc1cccc(OCC)c1O3)N=C=[S],reduction,[Mn+3]
71,MADVET,Mn3,DMF,-0.36,O1c2ccccc2C=N2CC[NH]3CC[NH]4CCN5=Cc6ccccc6O[Mn+3]12345,reduction,[Mn+3]
72,MADVET,Mn3,DMF,0.28,O1c2ccccc2C=N2CC[NH]3CC[NH]4CCN5=Cc6ccccc6O[Mn+3]12345,oxidation,[Mn+3]
73,NACZEX,Mn3,DMF,-0.54,C[OH][Mn+3]123(Oc4c(O)cccc4C=N1CCN2=Cc1cccc(O)c1O3)[OH]C,reduction,[Mn+3]
